10402,10749,10751,10752,10770,12,14,16,18,27,28,35,36,37,53,80,878,9648,99,adult,director,lead actors,movie_id,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,False,Edward Zwick,"[u'Tom Cruise', u'Cobie Smulders', u'Aldis Hodge']",343611,"Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever.",7.785596,/IfB9hy4JH1eH6HEfIgIGORXi5h.jpg,2016-10-19,Jack Reacher: Never Go Back,False,5.1,1418
0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,False,Shane Black,"[u'Russell Crowe', u'Ryan Gosling', u'Angourie Rice']",290250,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,7.706642,/2o0EvhUiUvzNbrZgbZvXBen9TcL.jpg,2016-05-15,The Nice Guys,False,7.0,1623
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,False,Ron Howard,"[u'Tom Hanks', u'Ewan McGregor', u'Ayelet Zurer']",13448,"Harvard symbologist Robert Langdon investigates a mysterious symbol seared into the chest of a murdered physicist. He discovers evidence of the unimaginable, the rebirth of an ancient secret brotherhood known as the Illuminati, the most powerful underground organization ever to walk the earth.",7.56093,/j77ci1pofRm5uzxF40TJvZSj2Ti.jpg,2009-05-13,Angels & Demons,False,6.4,1615
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,False,Doug Liman,"[u'Matt Damon', u'Franka Potente', u'Chris Cooper']",2501,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy – but who does he work for?",7.553764,/bXQIL36VQdzJ69lcjQR1WQzJqQR.jpg,2002-06-14,The Bourne Identity,False,7.2,3043
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,Christopher Nolan,"[u'Hugh Jackman', u'Christian Bale', u'Michael Caine']",1124,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",7.299058,/5MXyQfz8xUP3dIFPTubhTsbFY6N.jpg,2006-10-19,The Prestige,False,7.9,3195
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,Darren Aronofsky,"[u'Natalie Portman', u'Mila Kunis', u'Vincent Cassel']",44214,"A ballet dancer wins the lead in ""Swan Lake"" and is perfect for the role of the delicate White Swan - Princess Odette - but slowly loses her mind as she becomes more and more like Odile, the Black Swan.",7.28292,/dQ7uxvsVTspVIsqjfgQj8usJpwX.jpg,2010-12-02,Black Swan,False,7.2,3281
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,False,Ron Howard,"[u'Tom Hanks', u'Audrey Tautou', u'Ian McKellen']",591,"When the curator of the Louvre is found murdered in the famed museum's hallowed halls, Harvard professor, Robert Langdon and cryptographer, Sophie Neve must untangle a deadly web of deceit involving the works of Leonardo da Vinci.",7.277571,/5IqaT3fza0Y9vKazjGwDGsNuuS8.jpg,2006-05-17,The Da Vinci Code,False,6.4,2026
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,Martin Scorsese,"[u'Leonardo DiCaprio', u'Mark Ruffalo', u'Ben Kingsley']",11324,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",7.011684,/aZqKsvpJDFy2UzUMsdskNFbfkOd.jpg,2010-02-18,Shutter Island,False,7.7,4486
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,False,Scott Frank,"[u'Liam Neeson', u'Dan Stevens', u'David Harbour']",169917,Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.,6.79571,/xxe77USOk2tPnq7G4cL42gf1OxQ.jpg,2014-09-18,A Walk Among the Tombstones,False,6.2,981
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,False,Christopher Nolan,"[u'Guy Pearce', u'Joe Pantoliano', u'Carrie-Anne Moss']",77,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",6.759195,/fQMSaP88cf1nz4qwuNEEFtazuDM.jpg,2000-10-20,Memento,False,8.0,2872
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,False,Ridley Scott,"[u'Noomi Rapace', u'Michael Fassbender', u'Charlize Theron']",70981,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",6.736954,/sRbTWQn9Djs0wW8k3nkUun5ZBnt.jpg,2012-05-30,Prometheus,False,6.2,4135
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False,Adam Wingard,"[u'Dan Stevens', u'Maika Monroe', u'Sheila Kelley']",241848,"A soldier introduces himself to the Peterson family, claiming to be a friend of their son who died in action. After the young man is welcomed into their home, a series of accidental deaths seem to be connected to his presence.",6.466008,/xxSuU7Q9ZmPjw9TNQ1WzmHVAxBI.jpg,2014-09-17,The Guest,False,6.6,539
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,False,Jeremy Gillespie,"[u'Aaron Poole', u'Kathleen Munroe', u'Daniel Fathers']",378018,"In the middle of a routine patrol, officer Daniel Carter happens upon a blood-soaked figure limping down a deserted stretch of road. He rushes the young man to a nearby rural hospital staffed by a skeleton crew, only to discover that patients and personnel are transforming into something inhuman. As the horror intensifies, Carter leads the other survivors on a hellish voyage into the subterranean depths of the hospital in a desperate bid to end the nightmare before it's too late.",6.400057,/nH1YZAL8IeIQEOm2ewi5ncpuPQG.jpg,2017-04-07,The Void,False,6.4,36
0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,False,Guy Ritchie,"[u'Robert Downey Jr.', u'Jude Law', u'Rachel McAdams']",10528,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",6.296317,/22ngurXbLqab7Sko6aTSdwOCe5W.jpg,2009-12-23,Sherlock Holmes,False,6.9,4740
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,M. Night Shyamalan,"[u'Bruce Willis', u'Toni Collette', u'Olivia Williams']",745,"A psychological thriller about an eight year old boy named Cole Sear who believes he can see into the world of the dead. A child psychologist named Malcolm Crowe comes to Cole to help him deal with his problem, learning that he really can see ghosts of dead people.",6.139212,/imps263dHNe3SuoaAJORZyNTdDT.jpg,1999-08-06,The Sixth Sense,False,7.6,2373
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,False,Paul Greengrass,"[u'Matt Damon', u'Julia Stiles', u'David Strathairn']",2503,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",5.847036,/fHho6JYYY0nRcETWSoeI19iZsNF.jpg,2007-08-03,The Bourne Ultimatum,False,7.3,2474
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,False,Zack Snyder,"[u'Malin \xc5kerman', u'Billy Crudup', u'Carla Gugino']",13183,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.",5.742856,/1QqwJBv5a6ddgzaT6cLytJioyrJ.jpg,2009-03-05,Watchmen,False,6.9,2205
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,False,Denis Villeneuve,"[u'Emily Blunt', u'Benicio del Toro', u'Josh Brolin']",273481,"A young female FBI agent joins a secret CIA operation to take down a Mexican cartel boss, a job that ends up pushing her ethical and moral values to the limit.",5.695138,/p2SdfGmQRaw8xhFbexlHL7srMM8.jpg,2015-09-17,Sicario,False,7.2,1933
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,False,Richard Kelly,"[u'Jake Gyllenhaal', u'Patrick Swayze', u'Drew Barrymore']",141,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",5.576933,/nmb4QhCRmdfNP6rgb81yUFgI83l.jpg,2001-01-18,Donnie Darko,False,7.6,2408
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,False,Olivier Assayas,"[u'Kristen Stewart', u'Lars Eidinger', u'Anders Danielsen Lie']",340676,A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message.,5.329342,/jDOWYDmJvGkVkVHf7Ru66gy6ry8.jpg,2016-10-19,Personal Shopper,False,6.0,48
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,False,Guy Ritchie,"[u'Robert Downey Jr.', u'Jude Law', u'Jared Harris']",58574,"There is a new criminal mastermind at large--Professor Moriarty--and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",5.306519,/7OFqsVuS6DlVM10GUD72vCGpQm9.jpg,2011-11-22,Sherlock Holmes: A Game of Shadows,False,6.9,3165
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,False,Gore Verbinski,"[u'Naomi Watts', u'Martin Henderson', u'David Dorfman']",565,"It sounded like just another urban legend: A videotape filled with nightmarish images, leading to a phone call foretelling the viewer's death in exactly seven days. As a newspaper reporter, Rachel Keller was naturally skeptical of the story, until four teenagers all met with mysterious deaths exactly one week after watching just such a tape. Allowing her investigative curiosity to get the better of her, Rachel tracks down the video... and watches it. Now she has just seven days to unravel the mystery of the Ring.",5.237717,/zHJFdhqEXZJxG653oZvOM3PmNON.jpg,2002-10-18,The Ring,False,6.5,1185
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,False,Jaume Collet-Serra,"[u'Liam Neeson', u'Ed Harris', u'Joel Kinnaman']",241554,"Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his past—as well as a dogged police detective who’s been one step behind Jimmy for 30 years. But when Jimmy’s estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right.",5.053976,/aqNJrAxudMRNo8jg3HOUQqdl2xr.jpg,2015-03-11,Run All Night,False,6.3,994
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,False,Terry Gilliam,"[u'Bruce Willis', u'Madeleine Stowe', u'Brad Pitt']",63,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",4.992897,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,1995-12-29,Twelve Monkeys,False,7.4,1863
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,False,John Carpenter,"[u'Kurt Russell', u'Keith David', u'Wilford Brimley']",1091,Scientists in the Antarctic are confronted by a shape-shifting alien that assumes the appearance of the people that it kills.,4.990533,/s5fH3GqFcHbi2F0NSBSh4KRNTc0.jpg,1982-06-25,The Thing,False,7.7,1227
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False,Jaume Collet-Serra,"[u'Liam Neeson', u'Julianne Moore', u'Scoot McNairy']",225574,"Bill Marks is a burned-out veteran of the Air Marshals service. He views the assignment not as a life-saving duty, but as a desk job in the sky. However, today's flight will be no routine trip. Shortly into the transatlantic journey from New York to London, he receives a series of mysterious text messages ordering him to have the government transfer $150 million into a secret account, or a passenger will die every 20 minutes.",4.985966,/ifgEHE1ortukpBF6wh03HCuctdr.jpg,2014-01-26,Non-Stop,False,6.8,1920
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,False,Michael Mann,"[u'Chris Hemsworth', u'Leehom Wang', u'Tang Wei']",201088,A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.,4.975337,/sW3VEsulmxMlOmQwm0h7H7lZROi.jpg,2015-01-13,Blackhat,False,5.0,689
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,False,Steven Spielberg,"[u'Tom Cruise', u'Colin Farrell', u'Samantha Morton']",180,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",4.944912,/h3lpltSn7Rj1eYTPQO1lYGdw4Bz.jpg,2002-06-20,Minority Report,False,7.0,2072
0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,False,David Fincher,"[u'Cate Blanchett', u'Brad Pitt', u'Tilda Swinton']",4922,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",4.895491,/4O4INOPtWTfHq3dd5vYTPV0TCwa.jpg,2008-11-24,The Curious Case of Benjamin Button,False,7.3,2451
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,False,Paul Thomas Anderson,"[u'Joaquin Phoenix', u'Josh Brolin', u'Owen Wilson']",171274,"In Los Angeles at the turn of the 1970s, drug-fueled detective Larry ""Doc"" Sportello investigates the disappearance of an ex-girlfriend.",4.857355,/2fCg6FORkgRLpFIKlUg4gULIn1u.jpg,2014-12-25,Inherent Vice,False,6.4,703
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,False,M. Night Shyamalan,"[u'Mel Gibson', u'Joaquin Phoenix', u'Rory Culkin']",2675,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,4.776545,/bY9lCUVUajpkKWlfjWF1mtXaSUp.jpg,2002-08-02,Signs,False,6.3,1256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,False,J.J. Abrams,"[u'Joel Courtney', u'Elle Fanning', u'Riley Griffiths']",37686,"In 1979 Ohio, several youngsters are making a zombie movie with a Super-8 camera. In the midst of filming, the friends witness a horrifying train derailment and are lucky to escape with their lives. They soon discover that the catastrophe was no accident, as a series of unexplained events and disappearances soon follows. Deputy Jackson Lamb, the father of one of the kids, searches for the terrifying truth behind the crash.",4.762707,/orkLSuIsWxi2AIGXaCf7CL45T68.jpg,2011-06-08,Super 8,False,6.6,1947
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,False,Stanley Kubrick,"[u'Keir Dullea', u'Douglas Rain', u'Gary Lockwood']",62,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",4.752195,/90T7b2LIrL07ndYQBmSm09yqVEH.jpg,1968-04-05,2001: A Space Odyssey,False,7.8,2303
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,False,Jon Turteltaub,"[u'Nicolas Cage', u'Jon Voight', u'Harvey Keitel']",6637,"Benjamin Franklin Gates and Dr. Abigail Chase re-team with Riley Poole and, now armed with a stack of long-lost pages from John Wilkes Booth's diary, Ben must follow a clue left there to prove his ancestor's innocence in the assassination of Abraham Lincoln.",4.668613,/sHr05tz70r7y8A6XrdCBsHPK7tF.jpg,2007-12-13,National Treasure: Book of Secrets,False,6.1,1366
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,False,Tarsem Singh,"[u'Ryan Reynolds', u'Ben Kingsley', u'Natalie Martinez']",238615,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,4.662851,/5MUyULSD4syaMQFcfPABqopAO4e.jpg,2015-07-10,Self/less,False,6.2,874
0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,False,Lee Tamahori,"[u'Ice Cube', u'Samuel L. Jackson', u'Willem Dafoe']",11679,"Ice Cube stars as Darius Stone, a thrill-seeking troublemaker whose criminal record and extreme sports obsession make him the perfect candidate to be the newest XXX agent. He must save the U.S. government from a deadly conspiracy led by five-star general and Secretary of Defense George Deckert (played by Willem Dafoe).",4.609642,/sNnciVEuolaZoIzn5v2rP0pjiL0.jpg,2005-04-27,xXx: State of the Union,False,4.7,406
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,False,Rowan Joffe,"[u'Nicole Kidman', u'Colin Firth', u'Mark Strong']",204922,"A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her.",4.584579,/3UG2Pb122c7Va8MBtr1OHRB1YPh.jpg,2014-09-03,Before I Go to Sleep,False,6.1,561
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,False,Joel Edgerton,"[u'Jason Bateman', u'Rebecca Hall', u'Joel Edgerton']",328425,"A husband and wife try to reinvigorate their relationship but their lives are threatened by a ""friend"" from the husband's past who holds a horrifying secret about him, sending their world into a tailspin.",4.543241,/chrYVlwpBjlYM80w4bQDZzfNQZf.jpg,2015-07-30,The Gift,False,6.6,859
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,False,Martin Koolhoven,"[u'Guy Pearce', u'Dakota Fanning', u'Carice van Houten']",324560,"In the menacing inferno of the old American West, Liz is a genuine survivor who is hunted by a vengeful preacher for a crime she didn’t commit.",4.541713,/fYYruOEwdbJhlgdfK1HxPhXwHiB.jpg,2017-01-12,Brimstone,False,6.9,71
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,False,Scott Derrickson,"[u'Ethan Hawke', u""Vincent D'Onofrio"", u'James Ransone']",82507,"Found footage helps a true-crime novelist realize how and why a family was murdered in his new home, though his discoveries put his entire family in the path of a supernatural entity.",4.538267,/hrRYY7FcRc46Ue7h9jcKiW1xqJ3.jpg,2012-03-29,Sinister,False,6.7,1187
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,False,Joseph Kosinski,"[u'Tom Cruise', u'Morgan Freeman', u'Olga Kurylenko']",75612,"Jack Harper (Tom Cruise) is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.",4.534204,/hmOzkHlkGvi8x24fYpFSnXvjklv.jpg,2013-04-10,Oblivion,False,6.4,4192
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,False,Sarah Harding,"[u'Rowan Atkinson', u'Lucy Cohu', u'Shaun Dingwall']",452142,"A complex tale of murder, deceit and greed set in an isolated country community.",4.525455,/44WO6owDeRYgsO7UWXbpkRlYAtZ.jpg,2017-04-16,Maigret's Night at the Crossroads,False,0.0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,False,Taylor Hackford,"[u'Keanu Reeves', u'Al Pacino', u'Charlize Theron']",1813,A hotshot lawyer gets more than he bargained for when he learns his new boss is Lucifer himself.,4.409874,/eSivb4EyOAyEum70mOSHtAWiUe3.jpg,1997-10-17,The Devil's Advocate,False,7.1,1009
0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,False,Jon Turteltaub,"[u'Nicolas Cage', u'Diane Kruger', u'Justin Bartha']",2059,"Modern treasure hunters, led by archaeologist Ben Gates, search for a chest of riches rumored to have been stashed away by George Washington, Thomas Jefferson and Benjamin Franklin during the Revolutionary War. The chest's whereabouts may lie in secret clues embedded in the Constitution and the Declaration of Independence, and Gates is in a race to find the gold before his enemies do.",4.401074,/luMoc56LLMWUt60vUNNpwxrbTNt.jpg,2004-11-19,National Treasure,False,6.4,1496
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,False,Paul Verhoeven,"[u'Michael Douglas', u'Sharon Stone', u'George Dzundza']",402,"A police detective is in charge of the investigation of a brutal murder, in which a beautiful and seductive woman could be involved.",4.351245,/p1DHOfLFZmM567ePKfFNMV4mY92.jpg,1992-03-20,Basic Instinct,False,6.5,653
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,False,Gaspar Noé,"[u'Monica Bellucci', u'Vincent Cassel', u'Albert Dupontel']",979,"Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in the underpass. Her boyfriend and ex-lover take matters into their own hands by hiring two criminals to help them find the rapist so that they can exact revenge. A simultaneously beautiful and terrible examination of the destructive nature of cause and effect, and how time destroys everything.",4.338031,/xxgJJmReMLg01aaEIGLUC8JIjmh.jpg,2002-05-22,Irreversible,False,7.0,411
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,False,Neil Burger,"[u'Bradley Cooper', u'Robert De Niro', u'Abbie Cornish']",51876,"A paranoia-fueled action thriller about an unsuccessful writer whose life is transformed by a top-secret ""smart drug"" that allows him to use 100% of his brain and become a perfect version of himself. His enhanced abilities soon attract shadowy forces that threaten his new life in this darkly comic and provocative film.",4.27957,/bQfOFEeXxi51ijQrbQY9qvMtYhZ.jpg,2011-03-08,Limitless,False,7.0,2964
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,False,Robert Eggers,"[u'Anya Taylor-Joy', u'Ralph Ineson', u'Kate Dickie']",310131,"New England in the 1630s: William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness. When their newborn son vanishes and crops fail, the family turns on one another. Beyond their worst fears, a supernatural evil lurks in the nearby wood.",4.242528,/jfGsfzq5JrMAKbAOV2TmhsOs3tf.jpg,2015-03-24,The Witch,False,6.0,1040
